company_name,year,reportDate,Net Revenue,Cost of Goods,SG&A,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity
Sherwin-Williams,2022,2021-12-31,19944600.0,11401900.0,5882000.0,2664700.0,1864400.0,1927200.0,5053700.0,20666700.0,5719500.0,2437200.0,18229500.0
Sherwin-Williams,2021,2020-12-31,18361700.0,9679100.0,5477900.0,2854200.0,2030400.0,1804100.0,4591400.0,20401600.0,4594400.0,3610800.0,16790800.0
RH,2024,2024-01-31,3029126.0,1640107.0,1022948.0,366071.0,127561.0,754126.0,1101902.0,4143897.0,872868.0,-297394.0,4441291.0
RH,2023,2023-01-31,3590477.0,1778492.0,1089828.0,722157.0,528642.0,801841.0,2512664.0,5309289.0,885973.0,784661.0,4524628.0
RH,2022,2022-01-31,3758820.0,1903409.0,928230.0,927181.0,688546.0,734289.0,3091442.0,5540470.0,1063758.0,1170277.0,4370193.0
RH,2021,2021-01-31,2848626.0,1523095.0,858673.0,466858.0,271815.0,544227.0,801484.0,2898313.0,921632.0,447026.0,2451287.0
Williams-Sonoma,2024,2024-01-31,7750652.0,4447051.0,2059408.0,1244193.0,949762.0,1246369.0,2719797.0,5273548.0,1880315.0,2127861.0,3145687.0
Williams-Sonoma,2023,2023-01-31,8674417.0,4996684.0,2179311.0,1498422.0,1127904.0,1456123.0,2036080.0,4663016.0,1636451.0,1701051.0,2961965.0
Williams-Sonoma,2022,2022-01-31,8245936.0,4613973.0,2178847.0,1453116.0,1126337.0,1246372.0,2323894.0,4625620.0,1771686.0,1664207.0,2961413.0
Williams-Sonoma,2021,2021-01-31,6783189.0,4146920.0,1725572.0,910697.0,680714.0,1006299.0,2467080.0,4661424.0,1848000.0,1651185.0,3010239.0
Home Depot,2024,2024-01-31,152669000.0,101709000.0,26598000.0,21689000.0,15143000.0,20976000.0,29775000.0,76530000.0,22015000.0,1044000.0,75486000.0
Home Depot,2023,2023-01-31,157403000.0,104625000.0,26284000.0,24039000.0,17105000.0,24886000.0,32471000.0,76445000.0,23110000.0,1562000.0,74883000.0
Home Depot,2022,2022-01-31,151157000.0,100325000.0,25406000.0,23040000.0,16433000.0,22068000.0,29055000.0,71876000.0,28693000.0,-1696000.0,73572000.0
Home Depot,2021,2021-01-31,132110000.0,87257000.0,24447000.0,18278000.0,12866000.0,16627000.0,28477000.0,70581000.0,23166000.0,3299000.0,67282000.0
Lowe's,2024,2024-01-31,86377000.0,57533000.0,15570000.0,11557000.0,7726000.0,16894000.0,19071000.0,41795000.0,15568000.0,-15050000.0,56845000.0
Lowe's,2023,2023-01-31,97059000.0,64802000.0,20332000.0,10159000.0,6437000.0,18532000.0,21442000.0,43708000.0,19511000.0,-14254000.0,57962000.0
Lowe's,2022,2022-01-31,96250000.0,64194000.0,18301000.0,12093000.0,8442000.0,17605000.0,20060000.0,44640000.0,19668000.0,-4816000.0,49456000.0
Lowe's,2021,2021-01-31,89597000.0,60025000.0,18526000.0,9647000.0,5835000.0,16193000.0,22326000.0,46735000.0,18730000.0,1437000.0,45298000.0
Tractor Supply,2024,2023-12-31,14555741.0,9327522.0,3356258.0,1478912.0,1107226.0,2645854.0,3263939.0,9188151.0,2177082.0,2149762.0,7038389.0
Tractor Supply,2023,2022-12-31,14204717.0,9232513.0,3194199.0,1434943.0,1088712.0,2709597.0,3157775.0,8489990.0,2376212.0,2042416.0,6447574.0
Tractor Supply,2022,2021-12-31,12731105.0,8253952.0,2900297.0,1306698.0,997114.0,2191192.0,3250440.0,7767467.0,2064842.0,2002665.0,5764802.0
Tractor Supply,2021,2020-12-31,10620352.0,6858803.0,2478524.0,1065901.0,748958.0,1783270.0,3258685.0,7049116.0,1743798.0,1923840.0,5125276.0
